one,one,0.5
one,one,0.87
one,one,0.97
one,one,0.89
one,one,0.96
one,one,0.95
one,one,0.94
one,one,0.86
one,one,0.74
one,one,0.89
one,one,0.95
one,one,0.92
one,one,0.97
one,one,0.86
one,one,0.92
one,one,0.96
one,one,0.85
one,one,0.94
one,one,0.84
one,one,0.76
one,one,0.71
one,one,0.83
one,one,0.52
one,one,0.6
one,one,0.47
one,one,0.52
one,one,0.35
one,four,0.56
one,one,0.56
one,one,0.87
one,one,0.88
one,one,0.85
two,one,0.86
two,one,0.81
two,one,0.9
two,one,0.69
two,one,0.51
two,one,0.35
two,one,0.55
two,two,0.76
two,two,0.67
two,four,0.59
two,one,0.43
two,four,0.4
two,four,0.36
two,four,0.46
two,four,0.38
two,two,0.46
two,four,0.53
two,four,0.71
two,four,0.38
two,one,0.34
two,two,0.54
two,two,0.35
two,two,0.7
two,two,0.48
two,one,0.6
two,one,0.65
two,two,0.58
two,one,0.5
two,two,0.81
two,two,0.75
two,two,0.47
two,two,0.39
two,two,0.62
two,two,0.55
two,two,0.46
two,one,0.46
two,two,0.6
two,two,0.57
two,two,0.51
two,two,0.5
two,two,0.54
two,one,0.55
two,two,0.63
two,one,0.71
two,one,0.67
two,one,0.47
two,one,0.79
two,one,0.45
two,one,0.56
two,one,0.49
two,four,0.43
two,one,0.49
two,one,0.56
two,two,0.39
two,two,0.69
two,two,0.64
two,two,0.41
two,two,0.59
two,two,0.72
two,four,0.53
three,three,0.72
three,three,0.75
three,four,0.49
three,four,0.57
three,four,0.68
three,four,0.83
three,four,0.71
three,three,0.55
three,four,0.71
three,four,0.89
three,four,0.8
three,four,0.43
three,three,0.73
three,three,0.47
three,four,0.67
three,four,0.85
three,four,0.71
three,four,0.65
three,four,0.77
three,four,0.5
three,four,0.83
three,four,0.63
three,four,0.78
three,four,0.6
three,four,0.71
three,three,0.56
three,four,0.69
three,four,0.55
three,three,0.83
three,three,0.8
three,three,0.74
three,four,0.5
three,three,0.85
three,three,0.95
three,three,0.69
three,three,0.8
three,three,0.9
three,three,0.95
three,three,0.89
three,three,0.71
three,three,0.87
three,three,0.9
three,three,0.88
three,three,0.7
four,four,0.62
four,four,0.64
four,four,0.94
four,four,0.92
four,four,0.95
four,four,0.89
four,four,0.9
four,four,0.88
four,four,0.93
four,four,0.93
four,four,0.88
four,four,0.74
four,four,0.96
four,three,0.92
four,three,0.91
four,three,0.56
four,four,0.53
four,four,0.71
four,four,0.6
four,four,0.69
four,four,0.54
four,three,0.52
four,four,0.88
four,four,0.8
four,four,0.98
four,four,0.6
four,four,0.61
four,four,0.68
four,four,0.72
four,three,0.61
four,three,0.55
four,three,0.58
four,three,0.48
four,three,0.87
four,three,0.79
four,four,0.67
five,four,1
five,four,0.93
five,four,0.9
five,four,0.41
five,one,0.77
five,one,0.7
five,three,0.49
five,four,0.61
five,five,0.5
five,five,0.64
five,five,0.73
five,five,0.79
five,one,0.54
five,five,0.86
five,five,0.67
five,five,0.47
five,five,0.38
five,two,0.4
five,five,0.72
five,five,0.51
five,five,0.69
five,five,0.5
five,five,0.65
five,five,0.65
five,five,0.43
five,five,0.57
five,one,0.48
five,five,0.51
five,one,0.42
five,one,0.4
five,five,0.65
five,five,0.82
five,five,0.46
five,five,0.73
five,five,0.73
five,five,0.63
five,five,0.81
five,one,0.93
five,three,0.86
five,three,0.77
five,three,0.79
